School Id,First Name,Last Name,Email,Adusername,Grade
3212,School 1 Student 1,School 1 Student last name 1,school1student1@yopmail.com,school1student1,-1
3213,School 1 Student 2,School 1 Student last name 2,school1student2@yopmail.com,school1student2,0
3214,School 1 Student 3,School 1 Student last name 3,school1student3@yopmail.com,school1student3,1
3215,School 1 Student 4,School 1 Student last name 4,school1student4@yopmail.com,school1student4,2
3216,School 1 Student 5,School 1 Student last name 5,school1student5@yopmail.com,school1student5,3
3217,School 1 Student 6,School 1 Student last name 6,school1student6@yopmail.com,school1student6,4
3218,School 1 Student 7,School 1 Student last name 7,school1student7@yopmail.com,school1student7,5
3219,School 1 Student 8,School 1 Student last name 8,school1student8@yopmail.com,school1student8,6
3220,School 1 Student 9,School 1 Student last name 9,school1student9@yopmail.com,school1student9,7
3221,School 1 Student 10,School 1 Student last name 10,school1student10@yopmail.com,school1student10,8
3222,School 1 Student 11,School 1 Student last name 11,school1student11@yopmail.com,school1student11,9
3223,School 1 Student 12,School 1 Student last name 12,school1student12@yopmail.com,school1student12,10
3224,School 1 Student 13,School 1 Student last name 13,school1student13@yopmail.com,school1student13,11
3225,School 1 Student 14,School 1 Student last name 14,school1student14@yopmail.com,school1student14,12
