Student Id,School Id,First Name,Last Name,Email,Adusername,Grade
1,1,School 1 Student 1,School 1 Student last name 1,school1student1@yopmail.com,school1student1,-1
2,1,School 1 Student 2,School 1 Student last name 2,school1student2@yopmail.com,school1student2,0
3,1,School 1 Student 3,School 1 Student last name 3,school1student3@yopmail.com,school1student3,1
4,1,School 1 Student 4,School 1 Student last name 4,school1student4@yopmail.com,school1student4,2
5,1,School 1 Student 5,School 1 Student last name 5,school1student5@yopmail.com,school1student5,3
6,1,School 1 Student 6,School 1 Student last name 6,school1student6@yopmail.com,school1student6,4
7,1,School 1 Student 7,School 1 Student last name 7,school1student7@yopmail.com,school1student7,5
8,1,School 1 Student 8,School 1 Student last name 8,school1student8@yopmail.com,school1student8,6
9,1,School 1 Student 9,School 1 Student last name 9,school1student9@yopmail.com,school1student9,7
10,1,School 1 Student 10,School 1 Student last name 10,school1student10@yopmail.com,school1student10,8
11,1,School 1 Student 11,School 1 Student last name 11,school1student11@yopmail.com,school1student11,9
12,1,School 1 Student 12,School 1 Student last name 12,school1student12@yopmail.com,school1student12,10
13,1,School 1 Student 13,School 1 Student last name 13,school1student13@yopmail.com,school1student13,11
14,1,School 1 Student 14,School 1 Student last name 14,school1student14@yopmail.com,school1student14,12
15,1,School 1 Student 15,School 1 Student last name 15,school1student15@yopmail.com,school1student15,-1
16,1,School 1 Student 16,School 1 Student last name 16,school1student16@yopmail.com,school1student16,0
17,1,School 1 Student 17,School 1 Student last name 17,school1student17@yopmail.com,school1student17,1
18,1,School 1 Student 18,School 1 Student last name 18,school1student18@yopmail.com,school1student18,2
19,1,School 1 Student 19,School 1 Student last name 19,school1student19@yopmail.com,school1student19,3
20,1,School 1 Student 20,School 1 Student last name 20,school1student20@yopmail.com,school1student20,4
21,1,School 1 Student 21,School 1 Student last name 21,school1student21@yopmail.com,school1student21,5
22,1,School 1 Student 22,School 1 Student last name 22,school1student22@yopmail.com,school1student22,6
23,1,School 1 Student 23,School 1 Student last name 23,school1student23@yopmail.com,school1student23,7
24,1,School 1 Student 24,School 1 Student last name 24,school1student24@yopmail.com,school1student24,8
25,1,School 1 Student 25,School 1 Student last name 25,school1student25@yopmail.com,school1student25,9
26,1,School 1 Student 26,School 1 Student last name 26,school1student26@yopmail.com,school1student26,10
27,1,School 1 Student 27,School 1 Student last name 27,school1student27@yopmail.com,school1student27,11
28,1,School 1 Student 28,School 1 Student last name 28,school1student28@yopmail.com,school1student28,12
29,1,School 1 Student 29,School 1 Student last name 29,school1student29@yopmail.com,school1student29,-1
30,1,School 1 Student 30,School 1 Student last name 30,school1student30@yopmail.com,school1student30,0
31,1,School 1 Student 31,School 1 Student last name 31,school1student31@yopmail.com,school1student31,1
32,1,School 1 Student 32,School 1 Student last name 32,school1student32@yopmail.com,school1student32,2
33,1,School 1 Student 33,School 1 Student last name 33,school1student33@yopmail.com,school1student33,3
34,1,School 1 Student 34,School 1 Student last name 34,school1student34@yopmail.com,school1student34,4
35,1,School 1 Student 35,School 1 Student last name 35,school1student35@yopmail.com,school1student35,5
36,1,School 1 Student 36,School 1 Student last name 36,school1student36@yopmail.com,school1student36,6
37,1,School 1 Student 37,School 1 Student last name 37,school1student37@yopmail.com,school1student37,7
38,1,School 1 Student 38,School 1 Student last name 38,school1student38@yopmail.com,school1student38,8
39,1,School 1 Student 39,School 1 Student last name 39,school1student39@yopmail.com,school1student39,9
40,1,School 1 Student 40,School 1 Student last name 40,school1student40@yopmail.com,school1student40,10
41,1,School 1 Student 41,School 1 Student last name 41,school1student41@yopmail.com,school1student41,11
42,1,School 1 Student 42,School 1 Student last name 42,school1student42@yopmail.com,school1student42,12
43,1,School 1 Student 43,School 1 Student last name 43,school1student43@yopmail.com,school1student43,-1
44,1,School 1 Student 44,School 1 Student last name 44,school1student44@yopmail.com,school1student44,0
45,1,School 1 Student 45,School 1 Student last name 45,school1student45@yopmail.com,school1student45,1
46,1,School 1 Student 46,School 1 Student last name 46,school1student46@yopmail.com,school1student46,2
47,1,School 1 Student 47,School 1 Student last name 47,school1student47@yopmail.com,school1student47,3
48,1,School 1 Student 48,School 1 Student last name 48,school1student48@yopmail.com,school1student48,4
49,1,School 1 Student 49,School 1 Student last name 49,school1student49@yopmail.com,school1student49,5
50,1,School 1 Student 50,School 1 Student last name 50,school1student50@yopmail.com,school1student50,6
51,1,School 1 Student 51,School 1 Student last name 51,school1student51@yopmail.com,school1student51,7
52,1,School 1 Student 52,School 1 Student last name 52,school1student52@yopmail.com,school1student52,8
53,1,School 1 Student 53,School 1 Student last name 53,school1student53@yopmail.com,school1student53,9
54,1,School 1 Student 54,School 1 Student last name 54,school1student54@yopmail.com,school1student54,10
55,1,School 1 Student 55,School 1 Student last name 55,school1student55@yopmail.com,school1student55,11
56,1,School 1 Student 56,School 1 Student last name 56,school1student56@yopmail.com,school1student56,12
57,1,School 1 Student 57,School 1 Student last name 57,school1student57@yopmail.com,school1student57,-1
58,1,School 1 Student 58,School 1 Student last name 58,school1student58@yopmail.com,school1student58,0
59,1,School 1 Student 59,School 1 Student last name 59,school1student59@yopmail.com,school1student59,1
60,1,School 1 Student 60,School 1 Student last name 60,school1student60@yopmail.com,school1student60,2
